term,log_odds,corpus 1,corpus 2,count 1,count 2
democrats,-10.650027125252445,democrat_2024,democrat_2020,201,487
believe,-8.1021752796224,democrat_2024,democrat_2020,9,145
support,-7.012871353497702,democrat_2024,democrat_2020,93,221
public,-6.289317766976851,democrat_2024,democrat_2020,58,153
ensure,-6.05526606033874,democrat_2024,democrat_2020,44,127
color,-5.248046741924292,democrat_2024,democrat_2020,8,58
covid,-5.12737538146962,democrat_2024,democrat_2020,10,58
including,-4.965768437447997,democrat_2024,democrat_2020,121,213
students,-4.905965358793749,democrat_2024,democrat_2020,26,79
health,-4.768534676514576,democrat_2024,democrat_2020,166,266
pandemic,-4.671386263953205,democrat_2024,democrat_2020,29,80
use,-4.334392173543703,democrat_2024,democrat_2020,29,75
workers,-4.296458345765412,democrat_2024,democrat_2020,75,139
schools,-4.277058622677085,democrat_2024,democrat_2020,21,62
rural,-3.8758410594955124,democrat_2024,democrat_2020,9,38
federal,-3.849408217318135,democrat_2024,democrat_2020,99,162
education,-3.7945814106034,democrat_2024,democrat_2020,42,86
society,-3.7092407379595715,democrat_2024,democrat_2020,4,29
rights,-3.70038327742921,democrat_2024,democrat_2020,57,105
racial,-3.6237720842896395,democrat_2024,democrat_2020,9,35
policy,-3.6237720842896395,democrat_2024,democrat_2020,9,35
policies,-3.587832209587767,democrat_2024,democrat_2020,15,44
income,-3.325985287213159,democrat_2024,democrat_2020,38,74
needs,-3.270632811414511,democrat_2024,democrat_2020,7,28
gender,-3.2420152148521826,democrat_2024,democrat_2020,11,34
universal,-3.2329230051063584,democrat_2024,democrat_2020,3,22
disparities,-3.221698216389985,democrat_2024,democrat_2020,4,23
native,-3.196223140455652,democrat_2024,democrat_2020,22,50
foreign,-3.1441662366198315,democrat_2024,democrat_2020,11,33
recession,-3.031638090271326,democrat_2024,democrat_2020,4,21
recognize,-2.989185498540331,democrat_2024,democrat_2020,12,33
rates,-2.981230367876724,democrat_2024,democrat_2020,5,22
programs,-2.9759574859734674,democrat_2024,democrat_2020,46,80
effective,-2.9663861223325463,democrat_2024,democrat_2020,7,25
obama,-2.965099317243265,democrat_2024,democrat_2020,3,19
educational,-2.965099317243265,democrat_2024,democrat_2020,3,19
diplomacy,-2.930096390557396,democrat_2024,democrat_2020,4,20
st,-2.930096390557396,democrat_2024,democrat_2020,4,20
measures,-2.8880845060727696,democrat_2024,democrat_2020,1,19
science,-2.87437274842208,democrat_2024,democrat_2020,5,21
early,-2.8666641262356567,democrat_2024,democrat_2020,3,18
equitable,-2.861132478549533,democrat_2024,democrat_2020,2,17
quality,-2.816279654258654,democrat_2024,democrat_2020,25,50
higher,-2.794044600692617,democrat_2024,democrat_2020,8,25
diversity,-2.770067465085769,democrat_2024,democrat_2020,2,16
party,-2.770067465085769,democrat_2024,democrat_2020,2,16
outcomes,-2.76284736948164,democrat_2024,democrat_2020,3,17
substance,-2.7627656196193358,democrat_2024,democrat_2020,5,20
enforce,-2.7627656196193358,democrat_2024,democrat_2020,5,20
commit,-2.7627656196193358,democrat_2024,democrat_2020,5,20
enact,-2.7038511770558733,democrat_2024,democrat_2020,1,16
tools,-2.695780933245069,democrat_2024,democrat_2020,6,21
based,-2.690816839751508,democrat_2024,democrat_2020,26,50
transparency,-2.6530512205519465,democrat_2024,democrat_2020,3,16
international,-2.6415410673172097,democrat_2024,democrat_2020,17,37
disability,-2.6279218701322278,democrat_2024,democrat_2020,7,22
increase,-2.624661820664171,democrat_2024,democrat_2020,41,69
areas,-2.617899733104335,democrat_2024,democrat_2020,13,31
