term,log_odds,corpus 1,corpus 2,count 1,count 2
will,-11.196604307020277,democrat_2024,democrat_2020,452,857
democrats,-10.652701911478786,democrat_2024,democrat_2020,201,487
we,-8.98283790502721,democrat_2024,democrat_2020,425,729
and,-8.765945981036042,democrat_2024,democrat_2020,2134,2707
believe,-8.110436904688493,democrat_2024,democrat_2020,9,145
support,-7.036918464861532,democrat_2024,democrat_2020,93,221
our,-6.337643842689203,democrat_2024,democrat_2020,304,481
public,-6.312256814618306,democrat_2024,democrat_2020,58,153
should,-6.1169965471911505,democrat_2024,democrat_2020,30,106
ensure,-6.076656114168132,democrat_2024,democrat_2020,44,127
be,-5.741470397925725,democrat_2024,democrat_2020,59,143
color,-5.259477207757304,democrat_2024,democrat_2020,8,58
covid,-5.140058615678653,democrat_2024,democrat_2020,10,58
including,-4.997335066031419,democrat_2024,democrat_2020,121,213
students,-4.924778857801601,democrat_2024,democrat_2020,26,79
health,-4.803508207985597,democrat_2024,democrat_2020,166,266
pandemic,-4.691168181884572,democrat_2024,democrat_2020,29,80
use,-4.354391025431048,democrat_2024,democrat_2020,29,75
workers,-4.324862920417456,democrat_2024,democrat_2020,75,139
schools,-4.294717063726717,democrat_2024,democrat_2020,21,62
system,-4.1842512374919645,democrat_2024,democrat_2020,32,77
take,-4.116308321855371,democrat_2024,democrat_2020,11,44
rural,-3.8884316542056596,democrat_2024,democrat_2020,9,38
federal,-3.8814647087099927,democrat_2024,democrat_2020,99,162
education,-3.817997920759417,democrat_2024,democrat_2020,42,86
rights,-3.7267708863999434,democrat_2024,democrat_2020,57,105
society,-3.7181463556308083,democrat_2024,democrat_2020,4,29
policy,-3.63639720646683,democrat_2024,democrat_2020,9,35
racial,-3.63639720646683,democrat_2024,democrat_2020,9,35
policies,-3.603431004018863,democrat_2024,democrat_2020,15,44
must,-3.533188990715264,democrat_2024,democrat_2020,27,61
not,-3.4763668260918563,democrat_2024,democrat_2020,70,118
all,-3.4164926429538824,democrat_2024,democrat_2020,89,141
income,-3.3487551891877434,democrat_2024,democrat_2020,38,74
